"filename"	"CT_General"	"CT_Subtype"	"BTO"	"factor"	"factorGeneID"	"GSE"	"GSM"	"exp_type"
"BatF_GSE40918_Th17_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Batf"	53314	"GSE40918"	"GSM1004786-7 "	"tf"
"BatF_GSM1004793_Th17_wt_16h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Batf"	53314	"GSE40918"	"GSM1004793 "	"tf"
"BatF_GSM978758_WT-IL21_CD4_T-Cells"	"T-Cells"	"[PC] CD4+"	""	"Batf"	53314	"GSE39756"	"GSM978758"	"tf"
"BatF_GSM978767_Th17_T-Cells"	"T-Cells"	"[PC] Th17"	""	"Batf"	53314	"GSE39756"	"GSM978767"	"tf"
"Cbx7_GSM898200_HPC"	"Haematopoietic Progenitor Cells"	"[PC] HPC"	""	"Cbx7"	52609	"GSE36658"	"GSM898200"	"tf"
"Cbx8_GSM898201_HPC"	"Haematopoietic Progenitor Cells"	"[PC] HPC"	""	"Cbx8"	30951	"GSE36658"	"GSM898201"	"tf"
"cJun_GSM978770_WJL2012_096_Th17_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Jun"	16476	"GSE39756"	"GSM978770"	"tf"
"cMaf_GSE40918_wt_Th17_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Maf"	17132	"GSE40918"	"GSM1004799-800 "	"tf"
"CTCF_GSE40918_Th0_wt_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Ctcf"	13018	"GSE40918"	"GSM1004802-3 "	"tf"
"CTCF_GSE40918_Th17_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Ctcf"	13018	"GSE40918"	"GSM1004804-5 "	"tf"
"CTCF_GSM1023416_Rag1--_DN_Thymocytes"	"Thymocytes"	"[PC] CD4-CD8- (Rag1 KO)"	""	"Ctcf"	13018	"GSE41743"	"GSM1023416"	"tf"
"CTCF_GSM1023418_Rag1--_DP_Thymocytes"	"Thymocytes"	"[PC] CD4+CD8+ (Rag1 KO with TCRb transgene)"	""	"Ctcf"	13018	"GSE41743"	"GSM1023418"	"tf"
"CTCF_GSM1023420_Rag1--_Pro_B_Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag1 KO)"	""	"Ctcf"	13018	"GSE41743"	"GSM1023420"	"tf"
"CTCF_GSM918734_Immortalized_Thymus"	"Thymus"	"[PC] "	"BTO:0001374"	"Ctcf"	13018	"GSE36027"	"GSM918734"	"tf"
"CTCF_GSM918744_Immortalized_Erythroid"	"Mouse ErythroLeukaemic"	"[CL] MEL"	"BTO:0002731"	"Ctcf"	13018	"GSE36027"	"GSM918744"	"tf"
"Elf1_GSM999184_Treg_T-Cells"	"T-Cells"	"[PC] CD4+ Treg"	"BTO:0004520"	"Elf1"	13709	"GSE40684"	"GSM999184"	"tf"
"Elf1_GSM999185_TN_T-Cells"	"T-Cells"	"[PC] CD4+ (Foxp3 KO)"	""	"Elf1"	13709	"GSE40684"	"GSM999185"	"tf"
"Ets1_GSM999186_Treg_T-Cells"	"T-Cells"	"[PC] CD4+ Treg "	"BTO:0004520"	"Ets1"	23871	"GSE40684"	"GSM999186"	"tf"
"Ets1_GSM999187_CD4_T-Cells"	"T-Cells"	"[PC] CD4+ (Foxp3 KO)"	""	"Ets1"	23871	"GSE40684"	"GSM999187"	"tf"
"Etv6_GSE40918_Th17_wt_48h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Etv6"	14011	"GSE40918"	"GSM1004806-7 "	"tf"
"Fosl2_GSE40918_Th17_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Fosl2"	14284	"GSE40918"	"GSM1004809-10 "	"tf"
"Fosl2_GSM1004808_Th0_wt_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Fosl2"	14284	"GSE40918"	"GSM1004808 "	"tf"
"Foxo1_GSM998924_Ab_nTreg_T_Cells"	"T-Cells"	"[PC] nTreg"	"BTO:0004520"	"Foxo1"	56458	"GSE40656"	"GSM998924"	"tf"
"Foxp3_GSE40684_Treg_T-Cells"	"T-Cells"	"[PC] CD4+ Treg "	"BTO:0004520"	"Foxp3"	20371	"GSE40684"	"GSM999179-80+82"	"tf"
"GATA-1_Ab11835_Ter119-_Pro_Erythroblasts"	"Erythroid"	"[PC] Ter119- Erythroblasts"	"BTO:0001571"	"Gata1"	14460	"Ab11835"	"E-MTAB-1504"	"tf"
"GATA-1_Ab11835_Ter119+_Differentiated_Erythrocytes"	"Erythroid"	"[PC] Ter119+ Erythrocytes"	"BTO:0000424"	"Gata1"	14460	"Ab11835"	"E-MTAB-1504"	"tf"
"Gata1_GSM897224_async_G1E-ER4+E2_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Gata1"	14460	"GSE36589"	"GSM897224"	"tf"
"H3K27ac_GSM1022264_stat6ko_ctrl_UT_BMDM"	"Macrophages"	"[PC] Bone Marrow Macrophage (Stat6 KO)"	"BTO:0000801"	"H3K27ac"	""	"GSE38377"	"GSM1022264"	"histone"
"H3K4me2_GSE40918_Th17_RORg_ko_T_Cells"	"T-Cells"	"[PC] Th17 (RORg KO)"	""	"H3K4me2"	""	"GSE40918"	"GSM1004812-4 "	"histone"
"H3K4me2_GSE40918_Th17_RORg_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"H3K4me2"	""	"GSE40918"	"GSM1004811-3 "	"histone"
"H3K4me3_GSE40918_Th17_RORg_ko_T_Cells"	"T-Cells"	"[PC] Th17 (RORg KO)"	""	"H3K4me3"	""	"GSE40918"	"GSM1004816-8 "	"histone"
"H3K4me3_GSE40918_Th17_RORg_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"H3K4me3"	""	"GSE40918"	"GSM1004815-7 "	"histone"
"HA-Ikaros_GSE38200_epitope-tagged_Pre_B_Cell"	"B-Cells"	"[CL] B3 pre-B cells"	""	"Ikzf1"	22778	"GSE38200"	"GSM936201-2"	"tf"
"Hif1a_GSE40918_Th17_wt_48h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Hif1a"	15251	"GSE40918"	"GSM1004819-20 "	"tf"
"Hoxa_GSE33518_Myeloblastic_bone_marrow"	"Myeloblastic"	"[CL] HM2"	"BTO:0000740"	"Hoxa"	111336	"GSE33518"	"GSM842249-52"	"tf"
"Ikaros_GSE38200_endogenous_Pre_B_Cell"	"B-Cells"	"[CL] B3 pre-B cells"	""	"Ikzf1"	22778	"GSE38200"	"GSM936199-200"	"tf"
"Ikaros_GSE38200_endogenous_Primary_Pre_B_Cells"	"B-Cells"	"[PC] Primary_Pre_B_Cells"	""	"Ikzf1"	22778	"GSE38200"	"GSM1040573-4"	"tf"
"IRF4_GSE40918_Th0_wt_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Irf4"	16364	"GSE40918"	"GSM1004823-4 "	"tf"
"IRF4_GSE40918_Th17_RORg_ko_T_Cells"	"T-Cells"	"[PC] Th17 (RORg KO)"	""	"Irf4"	16364	"GSE40918"	"GSM1004834-6 "	"tf"
"IRF4_GSE40918_Th17_RORg_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE40918"	"GSM1004833-5 "	"tf"
"IRF4_GSM1004821_48h_Th0_Batf++_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Irf4"	16364	"GSE40918"	"GSM1004821 "	"tf"
"IRF4_GSM1004822_48h_Th0_Batf--_T_Cells"	"T-Cells"	"[PC] Th0 (Batf KO)"	"BTO:0002417"	"Irf4"	16364	"GSE40918"	"GSM1004822 "	"tf"
"IRF4_GSM1004825_Th0_Batf_wt_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Irf4"	16364	"GSE40918"	"GSM1004825 "	"tf"
"IRF4_GSM1004826_Th0_Batf_ko_T_Cells"	"T-Cells"	"[PC] Th0 (Baft KO)"	"BTO:0002417"	"Irf4"	16364	"GSE40918"	"GSM1004826 "	"tf"
"IRF4_GSM1004827_Th17_wt_16h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE40918"	"GSM1004827 "	"tf"
"IRF4_GSM1004828_Th17_wt_3h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE40918"	"GSM1004828 "	"tf"
"IRF4_GSM1004829_Th17_Batf_++_48h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE40918"	"GSM1004829 "	"tf"
"IRF4_GSM1004830_Th17_Batf_--_48h_T_Cells"	"T-Cells"	"[PC] Th17 (Baft KO)"	""	"Irf4"	16364	"GSE40918"	"GSM1004830 "	"tf"
"IRF4_GSM1004831_Th17_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE40918"	"GSM1004831 "	"tf"
"IRF4_GSM1004837_Th17_Batf_wt_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE40918"	"GSM1004837 "	"tf"
"IRF4_GSM1004838_Th17_Batf_ko_T_Cells"	"T-Cells"	"[PC] Th17 (Baft KO)"	""	"Irf4"	16364	"GSE40918"	"GSM1004838 "	"tf"
"IRF4_GSM978747_WT_noIL21_B-Cells"	"B-Cells"	"[PC] B-Cells"	"BTO:0000776"	"Irf4"	16364	"GSE39756"	"GSM978747"	"tf"
"IRF4_GSM978748_WT_withIL21_B-Cells"	"B-Cells"	"[PC] B-Cells"	"BTO:0000776"	"Irf4"	16364	"GSE39756"	"GSM978748"	"tf"
"IRF4_GSM978750_GA05L5_WT_noIL21_CD4-Cells"	"T-Cells"	"[PC] CD4+"	""	"Irf4"	16364	"GSE39756"	"GSM978750"	"tf"
"IRF4_GSM978751_GA06L7_WT_withIL21_CD4-Cells"	"T-Cells"	"[PC] CD4+"	""	"Irf4"	16364	"GSE39756"	"GSM978751"	"tf"
"IRF4_GSM978768_WJL2012_094_Th17-Cells"	"T-Cells"	"[PC] Th17"	""	"Irf4"	16364	"GSE39756"	"GSM978768"	"tf"
"IRF8_GSM950325_MSCVIRF8_Day3_Tot2_Myeloid"	"Myeloid progenitor cells"	"[CL] Tot2 (Irf8 KO)"	""	"Irf8"	15900	"GSE38824"	"GSM950325"	"tf"
"Jmjd3_GSM1004839_Th17_wt_48h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Kdm6b"	216850	"GSE40918"	"GSM1004839 "	"tf"
